Session,Lap,Lap [Unnamed: 0_level_1],Time Lap [1/100 s],Strip [Unnamed: 2_level_1],Time Strip [1/100 s],Absolute Time [1/10 s],Time [1/10 s],RPM [Unnamed: 6_level_1],Speed #2 [Km/h],Speed #3 [Km/h],K2 [°C],Ntc1 [°C],A. Long. [G],A. Lat. [G],GPS Lat. [Unnamed: 13_level_1],GPS Long. [Unnamed: 14_level_1],Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude,F_Gear_Ratio,R_Gear_Ratio,F_Tire_Diameter [mm],R_Tire_Diameter [mm]
SN13239_120425_13H49,1,1,35.97,1,35.97,0,0,6832,40.8,0,407.4,0,-0.32,0.27,35.38201209,140.2819858,1,6832,408,0,4074,1027,968,15367,0,35382012.09,140281985.8,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.1,0.1,6900,41.9,0,407.8,0,-0.33,0.26,35.382052,140.281966,1,6900,419,0,4078,1026,967,15367,0,35382052,140281966,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.2,0.2,7092,43,0,409.6,0,-0.29,0.25,35.382044,140.281971,1,7092,430,0,4096,1025,971,15643,0,35382044,140281971,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.3,0.3,7176,44.2,0,411.7,0,-0.28,0.29,35.382032,140.281974,1,7176,442,0,4117,1029,972,15899,0,35382032,140281974,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.4,0.4,7352,45.2,0,414,0,-0.26,0.25,35.382022,140.281977,1,7352,452,0,4140,1025,974,16123,0,35382022,140281977,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.5,0.5,7554,46,0,416,0,-0.29,0.32,35.382011,140.281981,1,7554,460,0,4160,1032,971,16442,0,35382011,140281981,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.6,0.6,7668,47.1,0,419,0,-0.24,0.38,35.382001,140.281984,1,7668,471,0,4190,1038,976,16629,0,35382001,140281984,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.7,0.7,7960,48.1,0,423,0,-0.34,0.43,35.381989,140.281986,1,7960,481,0,4230,1043,966,16799,0,35381989,140281986,450,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.8,0.8,8198,48.9,0,427,0,-0.31,0.46,35.381976,140.281987,1,8198,489,0,4270,1046,969,16965,0,35381976,140281987,460,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,0.9,0.9,8285,50.2,0,432.3,0,-0.38,0.55,35.381964,140.281989,1,8285,502,0,4323,1055,962,17280,0,35381964,140281989,460,11,86,254,280
SN13239_120425_13H49,1,1,35.97,1,35.97,1,1,8468,51.6,0,438.3,0,-0.3,0.54,35.381952,140.281989,1,8468,516,0,4383,1054,970,17396,0,35381952,140281989,460,11,86,254,280
