Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,10700,658,0,5985,1118,985,14433,0,3.538195297271282E7,1.402818974795993E8,350
1,10907,663,0,6078,1122,985,15161,0,35381932,140281907,350
1,10907,663,0,6078,1122,985,15161,0,35381925,140281910,350
1,11135,672,0,6125,1131,986,15647,0,35381917,140281914,350
1,11152,672,0,6157,1127,984,15955,0,35381901,140281919,350
1,11254,681,0,6183,1119,982,16509,0,35381884,140281922,360
1,11352,688,0,6208,1125,987,17036,0,35381867,140281924,360
1,11536,695,0,6229,1120,994,17036,0,35381850,140281924,360
1,11545,698,0,6250,1122,992,17848,0,35381832,140281924,360
1,12007,698,0,6273,1114,990,18280,0,35381814,140281922,360
1,11673,703,0,6300,1117,991,18724,0,35381797,140281917,360
1,11641,708,0,6319,1117,999,19079,0,35381779,140281912,350
1,11876,708,0,6340,1109,999,19576,0,35381762,140281906,350
1,11527,707,0,6356,1097,990,19856,0,35381746,140281897,350
1,11686,707,0,6371,1108,973,20296,0,35381731,140281887,350
1,11815,716,0,6383,1099,965,20599,0,35381714,140281877,350
1,11705,727,0,6393,1098,966,21005,0,35381701,140281864,350
1,11897,743,0,6404,1092,977,21005,0,35381686,140281851,350
1,11961,752,0,6411,1090,981,21614,0,35381671,140281837,350
1,11992,757,0,6414,1070,978,21839,0,35381657,140281822,350
1,12222,765,0,6415,1063,977,22277,0,35381644,140281804,350
1,12212,774,0,6410,1063,981,22506,0,35381631,140281787,350
1,12285,781,0,6406,1044,981,22711,0,35381617,140281769,350
1,12376,788,0,6402,1039,983,22932,0,35381606,140281751,350
1,12450,788,0,6400,1032,979,23110,0,35381594,140281731,350
1,12560,800,0,6402,1027,985,23256,0,35381582,140281712,350
1,12744,809,0,6405,1026,1003,23374,0,35381571,140281692,350
1,12757,813,0,6409,1024,1027,23374,0,35381560,140281672,350
1,12709,806,0,6416,1028,1056,23514,0,35381549,140281651,350
